,Karisuma 14,SMASHADELPHIA 2017,ALPHA,Midwest Mayhem 9,Umebura 27,UNLOCKED,Albion 2,TGL Presents: Divided,2GGC: Arms Saga,Evo 2017,DreamHack Atlanta 2017,Get On My Level 2017,IGX - International Gaming Expo,Low Tier City 5,Smash Factor 6,Sumabato 19,Umebura 28,Super Smash Con 2017,2GGC: SCR Saga,Dubai Dojo 2,Shine 2017,PAX Arena at PAX West 2017,2GGC: West Side Saga,DreamHack Montreal 2017,Showdown: Battle Royale 2,Sumabato 20,Syndicate 2017,GameTyrant Expo 2017,The Big House 7,2GGC: Fire Emblem Saga,Sumabato 21,DreamHack Denver 2017,Who's Your Pappy #10,Umebura 29,Canada Cup 2017,Clutch City Clash 2,TGL & PG Present: Too Hot to Handle,2GGC: MkLeo Saga,GatorLAN Fall 2017,Port Priority 2: Midwest Invasion,IBP Masters Showdown,Sumabato 22,Umebura 30,Super FamiCon 2017,Tech Republic III,Midwest Mayhem 10,Rikabura 8,2GGC: Last Chance Qualifier,2GG Championship
Earth,,,,,5th,,,,,,,,,,,,,,,5th,,,,,,,,,,33rd,,,,13th,,,,,,,,,3rd,,,,3rd,,
HIKARU,,,,,,,,,,,,,,,,1st,,,,5th,,,,,,5th,,,,,,,,,,,,17th,,,,,,,,,,,
Ned,,,,9th,,,,,,,17th,,,,,,,33rd,,,,,,,,,,,25th,,,,,,,,,17th,,1st,,,,,,7th,,,
Rich Brown,,,,,,,,,17th,49th,,,,,,,,33rd,33rd,,,,25th,,,,,,,33rd,,,3rd,,,,9th,33rd,,,17th,,,,,,,,
Myran,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,
Manny,,,,,,4th,,1st,,13th,25th,,,,,,,,,,,,,,2nd,,,,,5th,,,,,,,1st,,,,17th,,,,,,,,
ScAtt,,,,,,3rd,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAKAT,,,,,,,,,13th,13th,,,,,3rd,,,,,,,,,,,,,17th,25th,17th,,,,,,,,,,,,,,,,,,,
Nietono,,,,,13th,,,,,33rd,,,,,,,,,,,,,,,,7th,,,,,,,,4th,,,,,,,,,9th,,,,,,
Javi,,,,,,,,,,,,,,,5th,,,,,,,,17th,,9th,,,,17th,33rd,,4th,,,,7th,,17th,,,,,,,,,,,
Ac,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,9th,,,,,,,,25th,,,25th,,,,,,,,
WaDi,,3rd,2nd,,,,,,,13th,,,,,,,,5th,,,9th,,,,3rd,,,,,9th,,,,,,,,5th,,,,,,5th,,,,,11th
Edge,7th,,,,13th,,,,,25th,,,,,,3rd,,,,4th,,,,,,3rd,,,,,,,,,,,,,,,,4th,,,,,,,
